Año;Mes;Provincia;Firmante;Interbloque;Idproyecto;
2013;abril;Entre Ríos;Elsa Ruiz Diaz;FpV;1;
2013;septiembre;Santa Fe;Rubén Giustiniani;Federal;2;
2016;febrero;La Rioja;Mirta Teresita Luna;FpV;3;
2016;febrero;Río Negro;Magdalena Odarda;;4;
2017;marzo;Santa Fe;Ciciliani;;5;
2017;marzo;Santa Fe;Binner;;5;
2017;marzo;Mendoza;Gimenez Viviana;;5;
2017;marzo;San Luis;Riccardo;;5;
2017;marzo;Tucumán;Masso;;5;
2017;marzo;Tucumán;Soraire;;5;
2017;marzo;Buenos Aires;Alonso;;5;
2018;abril;CABA;Solanas;;6;
2018;abril;Río Negro;Odarda;;6;
2018;junio;Entre Ríos;Monfort;;7;
2020;julio;Buenos Aires;Gonzalez Gladys;JxC;8;
2020;julio;Buenos Aires;Bullrich Esteban;JxC;8;
2020;julio;Santa Cruz;Tapia María Belén;JxC;8;
2020;julio;Santa Fe;Estevez Enrique;Federal;9;
2020;julio;Santa Fe;Contigiani Luis;Federal;9;
2020;julio;Buenos Aires;Camaño Graciela;Federal;10;
2020;julio;Córdoba;Austin Brenda;JxC;11;
2020;julio;Santa Fe;Angelini Federico;JxC;11;
2020;julio;Entre Ríos;Lena Gabriela;JxC;11;
2020;julio;Chaco;Ayala Aida;JxC;11;
2020;julio;Salta;Cornejo Virginia;JxC;11;
2020;julio;CABA;Rezinovsky Dina;JxC;11;
2020;julio;Buenos Aires;Mendoza Josefina;JxC;11;
2020;julio;Buenos Aires;Asseff Alberto;JxC;11;
2020;julio;CABA;Gorleri Victoria;JxC;11;
2020;julio;Río Negro;Matzen Lorena;JxC;11;
2020;julio;Tucumán;Ascarate Lidia;JxC;11;
2020;julio;Formosa;Arce Mario;JxC;11;
2020;julio;Misiones;Pastori Luis;JxC;11;
2020;julio;CABA;Enriquez Jorge;JxC;11;
2020;julio;Chaco;Terada Alicia;JxC;11;
2020;julio;Buenos Aires;Ocaña María Graciela;JxC;11;
2020;julio;Santa Fe;Cantard Albor;JxC;11;
2020;julio;Buenos Aires;Banfi Karina;JxC;11;
2020;julio;Tierra del Fuego;Stefani Héctor;JxC;11;
2020;julio;Santa Fe;García Ximena;JxC;11;
2020;julio;Chubut;Menna Gustavo;JxC;11;
2020;julio;Buenos Aires;Ferraro Maximiliano;JxC;12;
2020;julio;Buenos Aires;Stilman Mariana;JxC;12;
2020;julio;CABA;Oliveto Lago Paula;JxC;12;
2020;julio;CABA;Zuvic Mariana;JxC;12;
2020;julio;Chaco;Terada Alicia;JxC;12;
2020;julio;CABA;Gorleri Victoria;JxC;12;
2020;julio;Buenos Aires;Mendoza Josefina;JxC;12;
2020;julio;Buenos Aires;Flores Hector;JxC;12;
2020;julio;Buenos Aires;Frade Mónica;JxC;12;
2020;agosto;Buenos Aires;Grosso Leonardo;FdT;13;
2020;agosto;Buenos Aires;Bernazza Claudia;FdT;13;
2020;agosto;Río Negro;Sposito Ayelén;FdT;13;
2020;agosto;Santa Fe;Mounier Patricia;FdT;13;
2020;agosto;Buenos Aires;López Jimena;FdT;13;
2020;agosto;Buenos Aires;Fagioli Federico;FdT;13;
2020;agosto;Salta;Alderete Juan Carlos;FdT;13;
2020;agosto;Salta;Caliva Lia;FdT;13;
2020;agosto;Buenos Aires;Lampreabe Florencia;FdT;13;
2020;agosto;Córdoba;Fernández Eduardo;FdT;13;
2020;agosto;Córdoba;Estevez Gabriela;FdT;13;
2020;agosto;Tucumán;Cisneros Carlos;FdT;13;
2020;agosto;Tucumán;Carrizo Nilda;FdT;13;
2020;agosto;La Rioja;Flores Danilo;FdT;13;
2020;agosto;San Luis;Alume Sbodio Karim;FdT;13;
2020;agosto;Mendoza;Ramón José;FdT;13;
2020;agosto;Misiones;Barbaro Hector;FdT;13;
2020;agosto;Mendoza;Bermejo Alejandro;FdT;13;
2020;agosto;Buenos Aires;Vilar Daniela;FdT;13;
2020;agosto;Buenos Aires;Martinez María Rosa;FdT;13;
2020;agosto;San Luis;Ybrhain Ponce Carlos;FdT;13;
2020;agosto;Chubut;Muñoz Rosa;FdT;13;
2020;agosto;Buenos Aires;Macha Mónica;FdT;13;
2020;agosto;Corrientes;Romero José;FdT;13;
2020;agosto;CABA;Cerruti Gabriela;FdT;13;
2020;agosto;Chubut;Luenzo Alfredo;FdT;14;
2020;agosto;Buenos Aires;Taiana Jorge ;FdT;15;
2020;agosto;Chaco;Rodas Antonio;FdT;15;
2020;agosto;Formosa;Gonzalez María Teresa;FdT;15;
2020;agosto;Santa Cruz;Ianni Ana María;FdT;15;
2020;agosto;Santiago del Estero;Antenor Montenegro Gerardo;FdT;15;
2020;agosto;Tucumán;Mirkin Beatriz;FdT;15;
2020;agosto;Jujuy;Snopek Guillermo;FdT;15;
2020;agosto;Río Negro;Larraburu Silvina;FdT;15;
2020;agosto;Corrientes;Vara Jorge;JxC;16;
2020;agosto;Santa Fe;Musac Juan Martin;JxC;16;
2020;agosto;Chaco;Cipolini Gerardo;JxC;16;
2020;agosto;Santa Fe;Scaglia Gisela;JxC;16;
2020;agosto;Corrientes;Regidor Belledone Estela;JxC;16;
2020;agosto;Entre Ríos;Hein Gustavo;JxC;16;
2020;agosto;Formosa;Buryaile Ricardo;JxC;16;
2020;agosto;Corrientes;Brambilla Sofía;JxC;16;
2020;agosto;Santa Fe;Lehmann María Lucila;JxC;16;
2020;agosto;Buenos Aires;Torello Pablo;JxC;16;
2020;agosto;Entre Ríos;Benedetti Atilio;JxC;16;
2020;agosto;Entre Ríos;Fregonese Alicia;JxC;16;
2020;agosto;Santa Fe;Angelini Federico;JxC;16;
2020;agosto;La Pampa;Perez Araujo Hernán;FdT;17;
2020;agosto;Río Negro;Soria Martini;FdT;17;
2020;agosto;Buenos Aires;López Jimena;FdT;17;
2020;agosto;La Pampa;Rauschenberger Ariel;FdT;17;
2020;agosto;La Pampa;Delú Melina;FdT;17;
2020;agosto;Entre Ríos;Lena Gabriela;JxC;18;
2020;agosto;Mendoza;Petri Luis Alfonso;JxC;18;
2020;agosto;Chaco;Ayala Aida;JxC;18;
2020;agosto;Buenos Aires;Mendoza Josefina;JxC;18;
2020;agosto;Jujuy;Rizzotti Jorge;JxC;18;
2020;agosto;Santa Fe;Del Cerro Gonzalo;JxC;18;
2020;agosto;Río Negro;Matzen Lorena;JxC;18;
2020;agosto;Mendoza;Zarambide Federico;JxC;18;
2020;agosto;CABA;Carrizo Ana Carla;JxC;18;
2020;agosto;Mendoza;Najul Claudia ;JxC;18;
2020;septiembre;Mendoza;Sartori, Diego;JxC;19;
2020;septiembre;Río Negro;Di Giacomo, Luis;JxC;19;
2020;septiembre;Mendoza;Wellbach Ricardo;JxC;19;
2020;septiembre;Santa Cruz;Carambia Antonio;JxC;19;
2020;septiembre;Misiones;Morales Flavia;JxC;19;
2020;septiembre;Mendoza;Del Caño Nicolás;FIT;20;
2020;septiembre;Buenos Aires;Del Plá Romina;FIT;20;
2020;septiembre;Jujuy;Giacoppo Silvia;JxC;21;
2020;octubre;Formosa;Mayans José Miguel;FdT;22;
2020;octubre;Neuquén;Parrilli Oscar;FdT;22;
2020;octubre;Mendoza;Fernández Sagasti Anabel;FdT;22;
2020;octubre;Formosa;Gonzalez María Teresa;FdT;22;
2022;marzo;Chaco;Rodas Antonio;FdT;23;
2022;marzo;Buenos Aires;Grosso Leonardo;FdT;24;
2022;marzo;Buenos Aires;Tolosa Paz Victoria;FdT;24;
2022;marzo;Santa Fe;Mirabella Roberto;FdT;24;
2022;marzo;Buenos Aires;López Jimena;FdT;24;
2022;marzo;CABA;Hagman Itai;FdT;24;
2022;marzo;Entre Ríos;Gaillard Ana;FdT;24;
2022;marzo;Salta;Caliva Lia;FdT;24;
2022;marzo;Buenos Aires;Arroyo Daniel;FdT;24;
2022;marzo;Buenos Aires;Alderete Juan Carlos;FdT;24;
2022;marzo;Buenos Aires;Yasky Hugo;FdT;24;
2022;marzo;Buenos Aires;Lampreabe Florencia;FdT;24;
2022;marzo;Santa Fe;Toniolli Eduardo;FdT;24;
2022;marzo;Buenos Aires;Stolbizer Margarita;FdT;24;
2022;marzo;Buenos Aires;Souto Natalia;FdT;24;
2022;marzo;Buenos Aires;Zaracho Natalia;FdT;24;
2022;marzo;Buenos Aires;Camaño Graciela;Federal;25;
2022;marzo;Corrientes;Vara Jorge;JxC;26;
2022;marzo;Santa Fe;Angelini Federico;JxC;26;
2022;marzo;Misiones;Arjol Martin;JxC;26;
2022;marzo;Formosa;Carabajal Fernando;JxC;26;
2022;marzo;Chaco;Cipolini Gerardo;JxC;26;
2022;marzo;Misiones;Schiavoni Alfredo;JxC;26;
2022;marzo;Corrientes;Aguirre Manuel;JxC;26;
2022;marzo;Entre Ríos;Galimberti Pedro;JxC;26;
2022;marzo;Santa Fe;Musac Juan Martin;JxC;26;
2022;marzo;Entre Ríos;Hein Gustavo;JxC;26;
2022;marzo;Formosa;Buryaile Ricardo;JxC;26;
2022;marzo;Buenos Aires;Torello Pablo;JxC;26;
2022;marzo;Corrientes;Jetter Ingrid;JxC;26;
2022;marzo;Corrientes;Brambilla Sofía;JxC;26;
2022;marzo;Misiones;Sartori, Diego;JxC;27;
2022;marzo;Buenos Aires;Aparicio Alicia;FdT;28;
2022;marzo;Santa Fe;Estevez Enrique;Federal;29;
2022;marzo;Buenos Aires;Stolbizer Margarita;Federal;29;
2022;marzo;Santa Fe;Fein Mónica;Federal;29;
2022;marzo;La Pampa;Perez Araujo Hernán;FdT;30;
2022;abril;Entre Ríos;Lena Gabriela;JxC;31;
2022;mayo;Mendoza;Del Caño Nicolás;FIT;32;
2022;mayo;Buenos Aires;Del Plá Romina;FIT;32;
2022;mayo;Jujuy;Vilca Alejandro;FIT;32;
2022;mayo;CABA;Bregman Myriam;FIT;32;
2022;junio;Buenos Aires;Torello Pablo;JxC;33;
2022;julio;La Rioja;Vega María Clara;JxC;34;
2022;agosto;Santa Fe;Lewandowski Marcelo;FdT;35;
2022;septiembre;Santa Fe;García Ximena;JxC;36;
2022;septiembre;Entre Ríos;Frigerio Rogelio;JxC;36;
2022;septiembre;Buenos Aires;Stolbizer Margarita;JxC;36;
2022;septiembre;CABA;Carrizo Ana Carla;JxC;36;
2022;septiembre;Catamarca;Manzi Ruben;JxC;36;
2022;septiembre;Buenos Aires;Manes Facundo;JxC;36;
2022;septiembre;Buenos Aires;Torello Pablo;JxC;36;
2022;septiembre;CABA;Martinez Dolores;JxC;36;
2022;septiembre;Buenos Aires;Frade Mónica;JxC;36;
2022;septiembre;Buenos Aires;Banfi Karina;JxC;36;
2022;septiembre;Buenos Aires;Crescimbeni Camila;JxC;36;
2022;septiembre;La Pampa;Berhongaray Martin;JxC;36;
2022;septiembre;Buenos Aires;Ferraro Maximiliano;JxC;36;
2022;septiembre;Buenos Aires;Stilman Mariana;JxC;36;
2022;septiembre;Santa Fe;Barletta Mario;JxC;36;
2022;septiembre;Buenos Aires;Gonzalez Gladys;JxC;37;
2022;septiembre;Santa Cruz;Tapia María Belén;;37;
2022;septiembre;Chubut;Terenzi Edith;;37;
2022;septiembre;Mendoza;Juri Mariana;;37;
2022;septiembre;Chubut;Torres Ignacio;;37;
2022;septiembre;Entre Ríos;Olalla Stella Maris;;37;
2022;septiembre;Santa Cruz;Costa Eduardo;;37;
2022;septiembre;Tierra del Fuego;Blanco Pablo;;37;
2022;septiembre;Santa Fe;Losada Carolina;;37;
2022;septiembre;Córdoba;Juez Luis Alfredo;;37;
